,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
210,1.6630247,1.4623928,2.9877942,2.170756,1.4944605,2.9146836,1.4529861,1.4373676,1.4831759,2.5109725
211,1.6286564,1.4030129,2.9209175,2.1475186,1.5295867,2.9045732,1.456152,1.4260437,1.4458896,2.468537
212,1.705176,1.4815375,2.9462113,2.1870656,1.4713815,2.9001393,1.4577355,1.4789447,1.4707003,2.5020065
213,1.6723261,1.4501923,2.9407907,2.1941462,1.6160468,2.9017217,1.5249225,1.4799299,1.4133055,2.4852998
214,1.663039,1.4263362,2.9157147,2.158278,1.5002152,2.8962245,1.4213748,1.4109051,1.426197,2.4698405
215,1.6181964,1.5066254,2.9462893,2.1262417,1.4593221,2.9609497,1.4766344,1.4180624,1.4157406,2.58607
216,1.6707023,1.4882343,2.9194207,2.1845415,1.5327868,2.901985,1.4049499,1.5184135,1.4572289,2.4587288
217,1.6182696,1.483129,2.9442074,2.14665,1.4459138,2.9331796,1.4405063,1.4036771,1.4017298,2.494732
218,1.7031893,1.423318,2.989716,2.1284604,1.5162406,2.9298224,1.3765227,1.4311348,1.4816101,2.4913912
219,1.6675326,1.4359968,2.8985999,2.2273886,1.543175,2.92132,1.462758,1.4057434,1.4770246,2.480518
220,1.6960337,1.4178735,2.943184,2.1945066,1.5461315,2.9360275,1.3914235,1.4698433,1.4493473,2.550755
221,1.6864102,1.4264531,2.9130974,2.2572463,1.4903181,2.932757,1.4637148,1.4697179,1.5090041,2.510043
222,1.6317363,1.4091727,2.9034686,2.1537507,1.5419247,2.9291856,1.4143255,1.4428402,1.4314847,2.4934857
223,1.673918,1.4533476,2.9257586,2.096579,1.510815,2.9184752,1.4496367,1.4821489,1.4389795,2.4817042
