,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
201,1.7328117,1.4305488,3.1756625,2.4568515,1.5286132,3.4266343,1.4403775,1.4423182,1.4439527,2.6999128
202,1.7131816,1.43119,3.1738682,2.465213,1.5180693,3.4020057,1.4292433,1.4342207,1.4484787,2.6890883
203,1.695031,1.4366108,3.1608615,2.4583132,1.5172923,3.3853722,1.4254142,1.4317685,1.4573073,2.6839027
204,1.6744939,1.4328866,3.1620524,2.4629397,1.5374471,3.388276,1.4454309,1.4356129,1.4434774,2.6883812
205,1.6604898,1.4393353,3.1586618,2.4603775,1.5289141,3.3851771,1.435743,1.434769,1.4594923,2.6848204
206,1.6517496,1.4285762,3.137927,2.4585788,1.5213013,3.3527896,1.4297624,1.4335427,1.4449258,2.6767373
207,1.6515592,1.435955,3.1500823,2.4588685,1.5230889,3.3569324,1.4336908,1.448297,1.4504819,2.6834278
208,1.6403948,1.4428952,3.1278753,2.454006,1.5240437,3.330297,1.4309255,1.442346,1.4491615,2.6757627
209,1.6302755,1.4371148,3.1281905,2.4553158,1.5271914,3.3403509,1.4306941,1.441368,1.4566861,2.6763916
210,1.6307229,1.431377,3.1199272,2.441341,1.5295634,3.314746,1.4345809,1.4336237,1.4465919,2.6713302
211,1.6228848,1.4294564,3.13285,2.4482627,1.5296115,3.3198879,1.433646,1.438658,1.4519078,2.670483
212,1.6163551,1.4371259,3.1109447,2.4423497,1.5238885,3.272086,1.4323655,1.4342996,1.4527076,2.6545987
213,1.6218789,1.4280205,3.1100998,2.4457011,1.5256349,3.2830353,1.4342031,1.4442041,1.4612277,2.669378
214,1.6235605,1.4270927,3.105067,2.4469357,1.5244399,3.269983,1.4322464,1.4259332,1.4511913,2.6618652
215,1.621421,1.4351125,3.0975525,2.4326096,1.5276178,3.2522907,1.4316615,1.4438428,1.4477745,2.6521573
216,1.6154027,1.442311,3.08683,2.4367902,1.5241241,3.2525358,1.4292144,1.4468173,1.4550952,2.6555016
217,1.6070529,1.4439723,3.0941765,2.4395938,1.5230287,3.2619202,1.4337075,1.4338348,1.4514982,2.6621308
218,1.6079364,1.4261082,3.0856848,2.4367623,1.5254128,3.2357552,1.4294753,1.4411205,1.4494808,2.6497276
219,1.6130676,1.4448167,3.0786827,2.4276536,1.5258592,3.2470775,1.4293765,1.4285661,1.451459,2.6575673
220,1.612055,1.4286015,3.0702837,2.4279943,1.5188825,3.218583,1.4271613,1.4428382,1.4465523,2.6476293
221,1.61572,1.4327861,3.0601997,2.4243402,1.5195875,3.2098892,1.4346437,1.4256303,1.4354981,2.644738
222,1.6162167,1.4354633,3.0602272,2.41182,1.5334471,3.2002368,1.4443257,1.4378368,1.4542454,2.6442566
223,1.6102393,1.4421523,3.0481422,2.420991,1.5154976,3.1954715,1.4256431,1.4405551,1.456829,2.6421366
224,1.6049943,1.4272711,3.0577474,2.4163635,1.5211146,3.1958017,1.428486,1.4399995,1.4530718,2.6451414
225,1.6095483,1.4435084,3.0427573,2.4162982,1.5236621,3.191229,1.4350202,1.4274529,1.4601922,2.639691
